"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"F3.1"	0	-1.22933952368339	0.025	0.65	0	"1"	"F3"
"Axl"	0	-1.24424415475705	0.032	0.684	0	"1"	"Axl"
"Cebpb.1"	0	-1.25443784578138	0.147	0.766	0	"1"	"Cebpb"
"Ecm1"	0	-1.37556702527303	0.075	0.735	0	"1"	"Ecm1"
"Cygb.1"	0	-1.39329236106404	0.03	0.715	0	"1"	"Cygb"
"Nupr1.1"	0	-1.41155662468909	0.034	0.73	0	"1"	"Nupr1"
"Pcolce2.1"	0	-1.4650546925716	0.021	0.633	0	"1"	"Pcolce2"
"Col6a2.1"	0	-1.47802831648549	0.03	0.667	0	"1"	"Col6a2"
"Pmp22"	0	-1.48340917613321	0.131	0.84	0	"1"	"Pmp22"
"Nbl1"	0	-1.50779969639321	0.065	0.787	0	"1"	"Nbl1"
"Itm2a.1"	0	-1.5373115299017	0.058	0.741	0	"1"	"Itm2a"
"Fstl1.1"	0	-1.549349242652	0.115	0.747	0	"1"	"Fstl1"
"C3.1"	0	-1.6127577740714	0.04	0.656	0	"1"	"C3"
"Ogn.1"	0	-1.63159764884883	0.034	0.714	0	"1"	"Ogn"
"Anxa1"	0	-1.66002688382022	0.1	0.811	0	"1"	"Anxa1"
"Cryab.1"	0	-1.66133253243662	0.157	0.787	0	"1"	"Cryab"
"Dpt.1"	0	-1.73120294094512	0.05	0.721	0	"1"	"Dpt"
"Meg3.1"	0	-1.75301842283477	0.026	0.663	0	"1"	"Meg3"
"Mgp.1"	0	-1.79885624331298	0.116	0.726	0	"1"	"Mgp"
"Timp2"	0	-1.86770430139927	0.091	0.801	0	"1"	"Timp2"
"Mt2"	0	-1.91347797716196	0.102	0.757	0	"1"	"Mt2"
"Myoc"	0	-2.16522289107906	0.061	0.725	0	"1"	"Myoc"
"Mt1"	0	-2.21957978792314	0.174	0.854	0	"1"	"Mt1"
"Mfap5"	0	-2.23844869372351	0.087	0.778	0	"1"	"Mfap5"
"Pi16.1"	0	-2.28444719030489	0.085	0.74	0	"1"	"Pi16"
"Col1a1.1"	0	-2.30973900095951	0.032	0.693	0	"1"	"Col1a1"
"Ccl11.1"	0	-2.36828995048185	0.049	0.736	0	"1"	"Ccl11"
"Apod.1"	0	-2.37741176801628	0.055	0.736	0	"1"	"Apod"
